fecha y hora,temperatura,humedad
2023-11-08 20:20:19.764641741,24.4,62
2023-11-08 20:35:18.237398046,24.6,60
2023-11-08 20:50:18.238171558,24.7,60
2023-11-08 20:52:07.416377996,24.7,60
2023-11-08 21:05:21.198811580,24.7,60
2023-11-08 21:20:18.214814906,24.8,60
2023-11-08 21:28:06.124056011,24.8,60
2023-11-08 21:38:12.447539046,24.7,60
2023-11-08 21:56:11.469320070,24.5,60
2023-11-08 22:11:13.534156096,24.6,60
2023-11-08 22:26:11.419344204,24.5,61
2023-11-08 22:41:11.442266038,24.3,61
2023-11-08 22:50:23.025696758,24.3,61
2023-11-08 22:56:11.415195629,24.2,62
2023-11-08 23:04:11.628164108,24.2,62
2023-11-08 23:47:10.369973908,23.9,63
2023-11-09 00:06:20.718092946,23.8,63
2023-11-09 00:07:28.612105333,23.9,63
2023-11-09 00:08:36.134400648,23.9,63
2023-11-09 00:09:36.702484258,23.9,63
2023-11-09 00:33:41.809657107,24.0,63
2023-11-09 01:00:24.395700036,24.0,63
2023-11-09 01:00:24.843638646,23.6,64
2023-11-09 02:13:18.805879673,23.6,64
2023-11-09 02:13:18.808725915,23.6,64
2023-11-09 04:17:09.205524929,23.1,66
2023-11-09 04:32:35.790263833,23.4,66
2023-11-09 04:47:37.133144991,23.3,66
2023-11-09 04:50:30.571453209,23.3,66
2023-11-09 05:02:35.765848261,23.3,66
2023-11-09 05:10:00.335410936,23.3,66
2023-11-09 05:17:35.749200571,23.2,66
2023-11-09 05:32:37.122475391,23.4,66
2023-11-09 05:47:39.518042565,23.3,66
2023-11-09 06:02:35.712957131,22.9,67
2023-11-09 06:17:35.700976971,22.7,67
2023-11-09 06:32:35.726882267,22.6,68
2023-11-09 06:47:35.683364024,22.5,68
2023-11-09 07:02:35.667892517,22.4,69
2023-11-09 07:17:35.651918408,22.4,69
2023-11-09 07:32:35.634846209,22.3,69
2023-11-09 07:47:35.637370480,22.2,69
2023-11-09 08:02:35.620360523,22.2,69
2023-11-09 08:17:35.615507867,22.2,69
2023-11-09 08:32:35.602909342,22.1,70
2023-11-09 09:02:35.578289849,22.0,70
2023-11-09 09:17:35.563492058,22.0,70
2023-11-09 09:32:35.556730470,21.9,71
2023-11-09 09:47:35.537152551,21.8,71
2023-11-09 10:02:35.534582120,21.8,71
2023-11-09 10:17:35.519872324,21.8,71
2023-11-09 10:32:35.496262556,21.7,71
2023-11-09 10:47:35.528016020,21.7,71
2023-11-09 11:02:36.273117860,21.6,71
2023-11-09 11:17:35.478157395,21.7,71
2023-11-09 11:32:36.421265665,21.6,72
2023-11-09 11:47:35.495463203,21.6,72
2023-11-09 12:02:41.410431177,21.6,72
2023-11-09 12:17:36.278423537,21.6,72
2023-11-09 12:32:35.507831518,21.8,72
2023-11-09 12:36:51.277196393,21.9,72
2023-11-09 13:01:00.947631478,21.8,72
2023-11-09 13:06:56.778945911,21.8,72
2023-11-09 13:16:04.918866354,21.9,71
2023-11-09 13:31:00.500456742,21.9,71
2023-11-09 13:40:50.083730502,21.9,71
2023-11-09 13:45:59.178299515,21.9,71
2023-11-09 14:01:06.320003899,22.0,71
2023-11-09 14:28:50.715430675,22.1,71
2023-11-09 14:43:49.508642822,22.2,71
2023-11-09 14:53:45.049337754,22.2,71
2023-11-09 14:58:50.494980730,22.2,71
2023-11-09 15:07:19.064879810,22.2,71
2023-11-09 15:14:05.940221268,22.2,71
2023-11-09 15:17:04.007394597,22.2,71
2023-11-09 15:28:52.458012600,22.3,71
2023-11-09 15:43:49.305968010,22.4,71
2023-11-09 15:58:49.307627125,22.4,71
2023-11-09 16:13:49.293978999,22.5,70
2023-11-09 16:28:49.318738192,22.6,70
2023-11-09 16:43:49.368343322,22.6,69
2023-11-09 16:58:49.267854325,22.7,69
2023-11-09 17:13:49.220637130,22.8,68
2023-11-09 17:28:49.216715181,23.0,67
2023-11-09 17:43:49.201741086,23.1,67
2023-11-09 18:01:26.663905760,23.2,66
2023-11-09 18:16:26.632452906,23.5,65
2023-11-09 18:31:28.123184296,23.6,64
2023-11-09 18:46:26.667835403,23.8,64
2023-11-09 19:01:26.617131401,24.1,63
2023-11-09 19:16:26.595414844,24.3,62
2023-11-09 19:31:26.568577127,24.5,61
2023-11-09 19:46:34.002207116,24.7,61
2023-11-09 20:01:26.629603035,24.8,60
2023-11-09 20:16:26.560094002,24.9,60
2023-11-09 20:31:26.548987958,25.1,59
2023-11-09 20:46:26.532100641,25.2,59
2023-11-09 21:01:26.506039357,25.3,59
2023-11-09 21:16:26.517334136,25.3,59
2023-11-09 21:31:26.490870531,25.2,59
2023-11-09 21:46:26.509663687,24.9,60
2023-11-09 22:05:23.140596021,24.7,60
2023-11-09 22:16:26.465577752,24.6,61
2023-11-09 22:31:26.452956633,24.4,62
2023-11-09 22:46:30.880211064,24.3,62
2023-11-09 23:03:50.271105500,24.3,62
2023-11-09 23:03:50.401012076,24.2,63
2023-11-09 23:18:50.261359934,24.1,63
2023-11-09 23:33:52.024359596,23.9,62
2023-11-09 23:41:46.526232748,23.9,62
2023-11-09 23:48:51.548647531,23.9,62
2023-11-10 01:31:52.589640730,23.3,63
2023-11-10 02:41:11.395030672,23.4,66
2023-11-10 02:56:10.880423967,23.2,65
2023-11-10 03:11:10.884046400,23.1,65
2023-11-10 03:26:10.870610346,23.0,68
2023-11-10 03:41:10.899070604,22.8,66
2023-11-10 03:56:10.812054548,22.9,66
2023-11-10 03:56:44.271704320,22.9,66
2023-11-10 04:11:44.355952917,22.9,66
2023-11-10 04:26:44.262674462,22.9,66
2023-11-10 04:41:44.247157627,22.8,66
2023-11-10 04:56:44.235764848,22.8,66
2023-11-10 05:11:56.464502616,22.8,66
2023-11-10 05:26:44.205373228,22.7,66
2023-11-10 05:41:44.192600954,22.7,66
2023-11-10 05:56:44.211145477,22.6,67
2023-11-10 06:11:44.159651080,22.6,67
2023-11-10 06:26:44.139598479,22.5,68
2023-11-10 06:41:44.140174744,22.4,68
2023-11-10 06:56:44.120475188,22.4,68
2023-11-10 07:11:44.113524176,22.3,68
2023-11-10 07:26:44.089554724,22.2,68
2023-11-10 07:41:44.087036873,22.2,68
2023-11-10 07:56:44.068014446,22.2,68
2023-11-10 08:11:44.064826481,22.2,68
2023-11-10 08:26:44.046714904,22.1,68
2023-11-10 08:41:44.024596184,22.1,69
2023-11-10 08:56:44.039224885,22.1,69
2023-11-10 09:11:44.011212797,22.0,69
2023-11-10 09:26:44.000257538,22.0,69
2023-11-10 09:41:43.975114365,21.9,69
2023-11-10 09:56:43.965924680,21.9,69
2023-11-10 10:11:43.957060453,21.8,69
2023-11-10 10:26:43.952505549,21.8,69
2023-11-10 10:41:43.928138772,21.7,69
2023-11-10 10:56:43.923913402,21.7,70
2023-11-10 11:11:43.934988363,21.7,70
2023-11-10 11:26:43.881348469,21.6,70
2023-11-10 11:41:43.867513397,21.5,72
2023-11-10 11:56:43.849197813,21.1,73
2023-11-10 12:11:43.872917926,21.1,74
2023-11-10 12:22:05.238805337,21.0,74
2023-11-10 12:32:05.173452342,21.2,73
2023-11-10 12:42:06.245314335,21.4,73
2023-11-10 12:53:05.186633532,21.4,73
2023-11-10 13:04:05.853452342,21.5,73
2023-11-10 13:14:05.062421231,21.5,73
2023-11-10 13:24:05.083534533,21.5,73
2023-11-10 13:34:06.214234242,21.6,73
2023-11-10 13:44:06.231241113,21.6,72
2023-11-10 13:54:07.160242224,21.6,72
2023-11-10 14:05:07.214234242,21.6,72
2023-11-10 14:15:07.200765767,21.6,73
2023-11-10 14:25:07.213151114,21.7,73
2023-11-10 14:35:07.112242242,21.7,73
2023-11-10 14:45:07.121312158,21.7,73
2023-11-10 14:55:08.221411149,21.7,73
2023-11-10 15:05:08.094223226,21.8,74
2023-11-10 15:15:08.085797562,21.8,74
2023-11-10 15:25:09.084353342,21.8,72
2023-11-10 15:35:09.072612315,21.8,72
2023-11-10 15:45:09.063212577,21.8,72
2023-11-10 15:55:09.032564542,21.9,71
2023-11-10 16:07:09.012546454,21.9,70
2023-11-10 16:18:09.893613252,21.9,70
2023-11-10 16:30:11.873412131,21.9,69
2023-11-10 16:45:12.984563234,22.0,68
2023-11-10 16:57:12.122526234,22.0,68




